iter	Passed	Remaining
0	510	510009
1	992	495073
2	1541	512283
3	2058	512492
4	2556	508746
5	2922	484150
6	3283	465825
7	3591	445382
8	4200	462514
9	4641	459509
10	4929	443203
11	5368	442019
12	5850	444183
13	6184	435531
14	6619	434707
15	6995	430211
16	7364	425853
17	7699	420070
18	7984	412260
19	8610	421895
20	9112	424810
21	9613	427363
22	10232	434669
23	10619	431876
24	11071	431797
25	11434	428353
26	11830	426325
27	12369	429414
28	12869	430921
29	13338	431279
30	13880	433879
31	14421	436258
32	14802	433769
33	15245	433149
34	15698	432842
35	16114	431504
36	16817	437710
37	17246	436604
38	17575	433067
39	17910	429846
40	18253	426942
41	18745	427565
42	19216	427670
43	19593	425710
44	20076	426058
45	20684	428974
46	21350	432919
47	21879	433948
48	22335	433495
49	22778	432787
50	23349	434482
51	23884	435437
52	24319	434543
53	24649	431821
54	25223	433383
55	25652	432432
56	26132	432333
57	26594	431939
58	26994	430539
59	27334	428248
60	27907	429595
61	28294	428064
62	28848	429062
63	29353	429297
64	29749	427938
65	30143	426581
66	30515	424944
67	30921	423803
68	31387	423506
69	31747	421788
70	32273	422288
71	32700	421477
72	33161	421101
73	33600	420454
74	33927	418439
75	34259	416522
76	34628	415094
77	35064	414474
78	35568	414661
79	35945	413372
80	36400	412988
81	36862	412679
82	37348	412634
83	37740	411549
84	38192	411131
85	38615	410396
86	39037	409670
87	39280	407084
88	39499	404315
89	39774	402162
90	39979	399359
91	40235	397102
92	40472	394714
93	40675	392041
94	40868	389324
95	41039	386459
96	41276	384253
97	41520	382159
98	41752	379989
99	41945	377506
100	42163	375293
101	42426	373518
102	42613	371111
103	42813	368854
104	42991	366447
105	43172	364112
106	43375	362006
107	43610	360189
108	44005	359717
109	44296	358398
110	44757	358463
111	45242	358708
112	45592	357881
113	46108	358348
114	46629	358840
115	47113	359037
116	47633	359488
117	48123	359700
118	48917	362152
119	49584	363617
120	50090	363883
121	50494	363394
122	50937	363186
123	51541	364114
124	51970	363796
125	52394	363432
126	52778	362801
127	53183	362311
128	53674	362409
129	54002	361398
130	54464	361298
131	55023	361823
132	55389	361070
133	55896	361238
134	56431	361576
135	56847	361146
136	57230	360507
137	57662	360179
138	58100	359891
139	58523	359503
140	58916	358929
141	59421	359036
142	59894	358946
143	60408	359094
144	60993	359651
145	61493	359694
146	61932	359375
147	62474	359652
148	62993	359781
149	63256	358453
150	63821	358837
151	64377	359158
