iter	RMSE
0	14.27410342
1	13.33799456
2	12.55394984
3	11.88462722
4	11.30492665
5	10.76699416
6	10.34862955
7	9.982902179
8	9.659896896
9	9.375797098
10	9.141662998
11	8.915259445
12	8.699608144
13	8.522534632
14	8.390306005
15	8.248184055
16	8.131116339
17	8.035690014
18	7.957605793
19	7.857470473
20	7.795535724
21	7.709091364
22	7.65587492
23	7.594518304
24	7.535073526
25	7.485366001
26	7.448297157
27	7.411103639
28	7.375448486
29	7.3367596
30	7.302853426
31	7.270644616
32	7.239662066
33	7.212752671
34	7.187574286
35	7.167578337
36	7.142019551
37	7.125057628
38	7.109994896
39	7.093888665
40	7.076684391
41	7.05854893
42	7.044933716
43	7.026272478
44	7.011463258
45	6.998430579
46	6.9884888
47	6.978734785
48	6.96168969
49	6.952323709
50	6.936089986
51	6.918659146
52	6.90574394
53	6.896553002
54	6.886769145
55	6.877719823
56	6.869281515
57	6.85980392
58	6.84842084
59	6.841427185
60	6.833919576
61	6.827244356
62	6.817089995
63	6.811552537
64	6.803112055
65	6.796616732
66	6.792484453
67	6.786933314
68	6.782508633
69	6.771949166
70	6.765558995
71	6.760348213
72	6.756791991
73	6.749344716
74	6.744822024
75	6.739774691
76	6.734652745
77	6.728133429
78	6.721364076
79	6.717747246
80	6.712606525
81	6.707429862
82	6.705578155
83	6.700678471
84	6.695632287
85	6.691843392
86	6.687593541
87	6.681229025
88	6.677803064
89	6.674681305
90	6.672083898
91	6.669137411
92	6.665965008
93	6.659250031
94	6.655583422
95	6.65290533
96	6.648743635
97	6.643915666
98	6.638906353
99	6.636153719
100	6.633116915
101	6.629869987
102	6.625672903
103	6.620753192
104	6.616137515
105	6.615483295
106	6.613012179
107	6.608937401
108	6.605949665
109	6.600659506
110	6.597820881
111	6.5972761
112	6.593717711
113	6.59039041
114	6.586979888
115	6.58637006
116	6.582333614
117	6.579678356
118	6.576079432
119	6.571467502
120	6.56686092
121	6.564985321
122	6.560661745
123	6.558501432
124	6.557902996
125	6.555121606
126	6.551915711
127	6.548543585
128	6.545677883
129	6.545090005
130	6.542331718
131	6.539837734
132	6.537296404
133	6.531907461
134	6.529661979
135	6.529018827
136	6.5284522
137	6.527900649
138	6.524091103
139	6.519766682
140	6.517580516
141	6.515356693
142	6.513453017
143	6.512918415
144	6.510445549
145	6.508533429
146	6.505873099
147	6.505287463
148	6.502807662
149	6.498385608
150	6.496461678
151	6.495942923
152	6.493337161
153	6.492848769
154	6.48836727
155	6.487874823
156	6.485722778
157	6.483722152
158	6.483248886
159	6.482712444
160	6.479715284
161	6.479235121
162	6.477413901
163	6.474078339
164	6.472584082
165	6.469880788
166	6.469455909
167	6.469006499
168	6.468584078
169	6.466081891
170	6.465642526
171	6.463603496
172	6.463171878
173	6.460489701
174	6.460033627
175	6.458251468
176	6.45783024
177	6.457408003
178	6.455573346
179	6.453917122
180	6.451490458
181	6.44928735
182	6.447268472
183	6.446857093
184	6.44463329
185	6.442610494
186	6.440736715
187	6.439601468
188	6.437799772
189	6.436009274
190	6.434468812
191	6.434027752
192	6.433628211
193	6.432741359
194	6.432156451
195	6.431763807
196	6.431333893
197	6.429829287
198	6.429402573
199	6.427420709
200	6.425405813
201	6.424981766
202	6.423401541
203	6.421328345
204	6.420907858
205	6.418865933
206	6.418473538
207	6.418097802
208	6.417686062
209	6.417276865
210	6.415703017
211	6.415097801
212	6.414719586
213	6.413409543
214	6.412189938
215	6.409781565
216	6.409378033
217	6.40694954
218	6.403245383
219	6.402842307
220	6.402441159
221	6.399946564
222	6.398298798
223	6.396924624
224	6.396542732
225	6.396146715
226	6.39575302
227	6.394069933
228	6.392576954
229	6.390878432
230	6.390488175
231	6.390099932
232	6.389393314
233	6.388285676
234	6.387899686
235	6.387515355
236	6.387132573
237	6.38476826
238	6.384387898
239	6.384061211
240	6.383682972
241	6.382036743
242	6.381291408
243	6.380915376
244	6.379147616
245	6.378775419
246	6.378216522
247	6.377883902
248	6.377539312
249	6.377199006
250	6.376852232
251	6.376503107
252	6.374280118
253	6.373933495
254	6.373040514
255	6.372678432
256	6.372317322
257	6.371189922
258	6.369427721
259	6.36864295
260	6.367409875
261	6.36704838
262	6.363616027
263	6.36186704
264	6.361509207
265	6.359912625
266	6.358366743
267	6.357252673
268	6.356566046
269	6.356220592
270	6.355888926
271	6.355537443
272	6.353761387
273	6.353411534
274	6.353063459
275	6.35272933
276	6.351698579
277	6.351352596
278	6.350834586
279	6.34962182
280	6.346374318
281	6.34609076
282	6.345769505
283	6.345427016
284	6.344869655
285	6.343676312
286	6.343334947
287	6.342002756
288	6.34166311
289	6.340192629
290	6.339855217
291	6.33784888
292	6.335890157
293	6.335569963
294	6.33523467
295	6.333837563
296	6.333189319
297	6.332022839
298	6.331688751
299	6.33051189
300	6.329927571
301	6.329595148
302	6.329263738
303	6.327600992
304	6.326346953
305	6.32601627
306	6.325686765
307	6.323783156
308	6.323296551
309	6.322968049
310	6.32127155
311	6.320755425
312	6.320427714
313	6.320101991
314	6.319807065
315	6.319508886
316	6.319185938
317	6.318859013
318	6.31853875
319	6.318219552
320	6.316145006
321	6.314752743
322	6.311855097
323	6.311369952
324	6.311074891
325	6.309554557
326	6.309078963
327	6.30760344
328	6.307286325
329	6.3058104
330	6.305504595
331	6.304517367
332	6.30421821
333	6.302818374
334	6.30250367
335	6.300938763
336	6.300625161
337	6.300312244
338	6.300012959
339	6.299702731
340	6.299393132
341	6.298280274
342	6.297971653
343	6.297664651
344	6.297148743
345	6.29684306
346	6.295863944
347	6.294816323
348	6.294529574
349	6.292150031
350	6.290573635
351	6.290280277
352	6.288737399
353	6.28743627
354	6.287149708
355	6.286846324
356	6.286049738
357	6.285529811
358	6.285227613
359	6.283701038
360	6.283399451
361	6.281445474
362	6.280146432
363	6.279680373
364	6.279379688
365	6.277987145
366	6.277687824
367	6.277224701
368	6.276939833
369	6.27664151
370	6.276344602
371	6.276056576
372	6.27578095
373	6.274951258
374	6.273627493
375	6.273168672
376	6.272742244
377	6.27244744
378	6.272172281
379	6.271163164
380	6.269926353
381	6.269262011
382	6.268860809
383	6.267944348
384	6.266708227
385	6.26642782
386	6.265483756
387	6.265191843
388	6.263985351
389	6.263675629
390	6.262500424
391	6.262209475
392	6.261919354
393	6.261630287
394	6.261341445
395	6.260853035
396	6.260599996
397	6.260298679
398	6.259588653
399	6.259292691
400	6.259001909
401	6.258715848
402	6.258433748
403	6.258148881
404	6.255070333
405	6.254658322
406	6.254373862
407	6.254110105
408	6.252319921
409	6.250173448
410	6.24990298
411	6.247025701
412	6.246556195
413	6.246058137
414	6.24577457
415	6.243849285
416	6.243571997
417	6.243311483
418	6.242875267
419	6.242594215
420	6.242324882
421	6.240321376
422	6.239332642
423	6.239053192
424	6.238774499
425	6.238496461
426	6.236788355
427	6.236497055
428	6.236225904
429	6.235948976
430	6.2356728
431	6.235390195
432	6.235113736
433	6.234841573
434	6.234149305
435	6.232786051
436	6.230919168
437	6.230643973
438	6.230406316
439	6.230139391
440	6.229865838
441	6.229592895
442	6.228391159
443	6.227338715
444	6.22662674
445	6.226376027
446	6.225709825
447	6.224599813
448	6.223503503
449	6.223253478
450	6.222161512
451	6.221331568
452	6.221059632
453	6.220823033
454	6.21932016
455	6.218911225
456	6.218648024
457	6.217233887
458	6.21698019
459	6.216711261
460	6.216442807
461	6.21343612
462	6.213171023
463	6.212255997
464	6.211989089
465	6.211207125
466	6.210962808
467	6.210696533
468	6.210036744
469	6.209770894
470	6.209505821
471	6.208653781
472	6.20775695
473	6.207363608
474	6.206717501
475	6.203950866
476	6.20372384
477	6.202909804
478	6.202644727
479	6.202380338
480	6.202002515
481	6.201738596
482	6.20147558
483	6.201086324
484	6.200823701
485	6.20055481
486	6.200293031
487	6.199810559
488	6.19874055
489	6.198211257
490	6.197861259
491	6.196598109
492	6.196360286
493	6.196099064
494	6.1948939
495	6.194633119
496	6.193017074
497	6.192770686
498	6.192523808
499	6.191496687
500	6.191244699
501	6.190779331
502	6.190531798
