iter	Passed	Remaining
0	146	145914
1	245	122563
2	326	108602
3	409	101954
4	495	98522
5	577	95731
6	659	93614
7	743	92192
8	827	91122
9	910	90159
10	991	89149
11	1070	88138
12	1152	87481
13	1232	86778
14	1316	86417
15	1410	86753
16	1517	87741
17	1599	87271
18	1682	86866
19	1765	86500
20	1847	86131
21	1932	85915
22	2016	85645
23	2100	85437
24	2182	85133
25	2273	85158
26	2361	85103
27	2446	84936
28	2529	84707
29	2608	84328
30	2691	84131
31	2769	83779
32	2852	83579
33	2929	83219
34	3003	82812
35	3078	82433
36	3156	82148
37	3235	81919
38	3321	81840
39	3407	81783
40	3484	81512
41	3565	81336
42	3649	81215
43	3736	81189
44	3820	81070
45	3896	80809
46	3975	80606
47	4057	80481
48	4153	80605
49	4245	80663
50	4339	80747
51	4450	81134
52	4545	81220
53	4629	81103
54	4711	80953
55	4788	80714
56	4861	80421
57	4938	80206
58	5016	80016
59	5091	79762
60	5166	79535
61	5239	79263
62	5323	79179
63	5400	78978
64	5485	78910
65	5573	78866
66	5645	78616
67	5721	78418
68	5792	78163
69	5868	77969
70	5945	77789
71	6022	77623
72	6095	77405
73	6175	77274
74	6249	77074
75	6327	76931
76	6404	76767
77	6485	76666
78	6567	76568
79	6642	76390
80	6717	76213
81	6801	76138
82	6880	76014
83	6960	75905
84	7043	75815
85	7120	75674
86	7200	75568
87	7286	75516
88	7373	75474
89	7461	75445
90	7542	75343
91	7622	75227
92	7700	75099
93	7781	75001
94	7859	74875
95	7937	74748
96	8016	74630
97	8096	74519
98	8174	74395
99	8255	74296
100	8338	74217
101	8416	74099
102	8498	74013
103	8582	73940
104	8663	73842
105	8739	73710
106	8816	73579
107	8893	73456
108	8973	73352
109	9052	73246
110	9133	73148
111	9208	73006
112	9288	72912
113	9378	72889
114	9465	72845
115	9547	72759
116	9629	72674
117	9721	72665
118	9806	72603
119	9897	72580
120	9986	72548
121	10067	72455
122	10158	72430
123	10234	72302
124	10319	72234
125	10400	72144
126	10488	72098
127	10575	72044
128	10656	71949
129	10733	71832
130	10817	71760
131	10899	71675
132	10982	71595
133	11071	71551
134	11148	71430
