iter	RMSE
0	14.75428742
1	14.23031354
2	13.7437065
3	13.26982093
4	12.83866504
5	12.41360058
6	12.04812754
7	11.67686716
8	11.33782067
9	11.04157903
10	10.73864988
11	10.47224845
12	10.21679668
13	9.978932951
14	9.766503153
15	9.565171716
16	9.378506741
17	9.2034461
18	9.047380302
19	8.878540392
20	8.738510162
21	8.610683299
22	8.498791713
23	8.385985562
24	8.285926192
25	8.175700749
26	8.090139714
27	7.999689134
28	7.911095039
29	7.833723809
30	7.752247858
31	7.692744769
32	7.632147756
33	7.572527406
34	7.521190836
35	7.468102158
36	7.418049421
37	7.374842946
38	7.331031073
39	7.284940407
40	7.246277996
41	7.210794942
42	7.177736496
43	7.146099239
44	7.116405129
45	7.082273418
46	7.053840206
47	7.026830093
48	7.001973639
49	6.975872215
50	6.951554405
51	6.925947131
52	6.903676717
53	6.875384128
54	6.854560972
55	6.836990734
56	6.816237792
57	6.798897711
58	6.782905554
59	6.759858586
60	6.743302139
61	6.729371214
62	6.708982667
63	6.694913649
64	6.678533532
65	6.665612878
66	6.651690434
67	6.634759792
68	6.624395309
69	6.609556652
70	6.594022822
71	6.580279212
72	6.571024311
73	6.560830827
74	6.551752855
75	6.53956897
76	6.528844668
77	6.521225368
78	6.511427422
79	6.503949793
80	6.494234341
81	6.486016101
82	6.478707639
83	6.471888832
84	6.465860044
85	6.457805846
86	6.451855358
87	6.445267728
88	6.440331494
89	6.431136363
90	6.422277967
91	6.416695285
92	6.409960055
93	6.40463491
94	6.399532412
95	6.393799218
96	6.388973507
97	6.381818144
98	6.374030039
99	6.369390791
100	6.365753732
101	6.358536109
102	6.353252136
103	6.350042548
104	6.34677451
105	6.342294001
106	6.338011821
107	6.331387975
108	6.32878627
109	6.324033369
110	6.320449854
111	6.315792717
112	6.312998243
113	6.309984426
114	6.307166259
115	6.303448022
116	6.30095742
117	6.296792459
118	6.292879793
119	6.286531025
120	6.282756872
121	6.278895478
122	6.272890747
123	6.269375176
124	6.26649296
125	6.264248537
126	6.26170471
127	6.258992336
128	6.2525888
129	6.250708925
130	6.248529173
131	6.24591773
132	6.241420186
133	6.238853187
134	6.237112617
135	6.233621534
136	6.230943748
137	6.228655367
138	6.223701875
139	6.220668939
140	6.215757174
141	6.213481807
142	6.210869842
143	6.207929796
144	6.204948369
145	6.201626003
146	6.199473035
147	6.195172399
148	6.192396665
149	6.190105262
150	6.186447556
151	6.185273528
152	6.182842573
153	6.1804426
154	6.177737746
155	6.176372936
156	6.174161222
157	6.171542493
158	6.16785198
159	6.16642761
160	6.164272409
161	6.163142014
162	6.159704849
163	6.157840354
164	6.1561097
165	6.153497656
166	6.151004096
167	6.146825083
168	6.146594224
169	6.145318913
170	6.142167352
171	6.140326384
172	6.138569244
173	6.135911911
174	6.134247732
175	6.133500397
176	6.130000705
177	6.126929577
178	6.124986028
179	6.124785137
180	6.121442006
181	6.121250872
182	6.119432334
183	6.116648392
184	6.114334951
185	6.114115359
186	6.112206182
187	6.112062095
188	6.111810599
189	6.111493073
190	6.109608613
191	6.108348182
192	6.106223366
193	6.102844437
194	6.101141678
195	6.097701594
196	6.095801683
197	6.095562487
198	6.095242312
199	6.095001631
200	6.094760407
201	6.094521886
202	6.092500678
203	6.089137077
204	6.087026838
205	6.083494937
206	6.080607606
207	6.078676774
208	6.075250657
209	6.073602718
210	6.073320204
211	6.071597979
212	6.071290158
213	6.070979183
214	6.068545824
215	6.066762491
216	6.063602212
217	6.063281821
218	6.06183295
219	6.06018879
220	6.059884419
221	6.057832717
222	6.057529528
223	6.057096995
224	6.053927138
225	6.053596071
226	6.050764085
227	6.04879945
228	6.045031682
229	6.041514652
230	6.039177225
231	6.038798021
232	6.038431978
233	6.038067828
234	6.037727654
235	6.035894842
236	6.033893658
237	6.031538942
238	6.031192664
239	6.028123831
240	6.027718416
241	6.024073771
242	6.023740321
243	6.021652105
244	6.01749201
245	6.017161073
246	6.016691377
247	6.013979698
248	6.011434185
249	6.009262038
250	6.00744099
251	6.002830361
252	6.002464074
253	6.000881835
254	6.000562215
255	5.997995219
256	5.997661491
257	5.994499841
258	5.99414648
259	5.992565721
260	5.992109297
261	5.991808909
262	5.989484435
263	5.987156763
264	5.984134646
265	5.983830135
266	5.983541914
267	5.981315326
268	5.978879913
269	5.976208483
270	5.973412827
271	5.971043666
272	5.969284445
273	5.966342265
274	5.964106999
275	5.961685951
276	5.961379542
277	5.958815072
278	5.958523755
279	5.956401561
280	5.955960254
281	5.953748487
282	5.950142564
283	5.94813154
284	5.945876804
285	5.943063881
286	5.940818401
287	5.940533227
288	5.938860932
289	5.936675134
290	5.934133363
291	5.931138003
292	5.9299304
293	5.929638884
294	5.929350653
295	5.926660084
296	5.926262093
297	5.925550666
298	5.923595378
299	5.920757437
300	5.919123544
301	5.916255033
302	5.914712065
303	5.914437412
304	5.914155774
305	5.913770402
306	5.913414552
307	5.910108238
308	5.908116235
309	5.907849084
310	5.905385544
311	5.903980896
312	5.9023078
313	5.89998267
314	5.899717365
315	5.897365591
316	5.895256331
317	5.8917716
318	5.891499307
319	5.889784801
320	5.889514346
321	5.886839533
322	5.885319589
323	5.884009396
324	5.882319561
325	5.880862527
326	5.880602896
327	5.877133217
328	5.876616088
329	5.876348683
330	5.875941538
331	5.874172546
332	5.871970391
333	5.870670573
334	5.870405379
335	5.870145259
336	5.867126072
337	5.866751577
338	5.866489426
339	5.864866728
340	5.862534666
341	5.860692468
342	5.860431805
343	5.860173157
