iter	Passed	Remaining
0	343	685820
1	772	771589
2	1001	666932
3	1293	645569
4	1502	599396
5	1736	577256
6	1945	554017
7	2158	537522
8	2372	524754
9	2589	515311
10	2812	508600
11	3025	501275
12	3241	495436
13	3458	490612
14	3687	487988
15	3912	485164
16	4143	483341
17	4374	481718
18	4658	485696
19	4920	487123
20	5174	487605
21	5405	485979
22	5636	484452
23	5858	482309
24	6084	480645
25	6327	480420
26	6561	479449
27	6794	478519
28	7080	481258
29	7389	485226
30	7754	492565
31	8017	493098
32	8276	493328
33	8514	492323
34	8754	491492
35	8982	490035
36	9192	487677
37	9413	486056
38	9628	484164
39	9877	484006
40	10139	484483
41	10400	484853
42	10642	484355
43	10883	483818
44	11105	482470
45	11333	481415
46	11551	480008
47	11765	478465
48	11988	477351
49	12196	475681
50	12406	474130
51	12626	473004
52	12834	471502
53	13073	471116
54	13302	470418
55	13527	469590
56	13763	469178
57	13981	468131
58	14207	467409
59	14419	466242
60	14628	465005
61	14850	464210
62	15086	463850
63	15292	462593
64	15540	462614
65	15761	461849
66	15979	461009
67	16213	460648
68	16426	459710
69	16648	459012
70	16887	458818
71	17175	459913
72	17498	461904
73	17708	460901
74	17914	459816
75	18127	458901
76	18333	457864
77	18539	456842
78	18749	455922
79	18953	454878
80	19163	454010
81	19363	452921
82	19565	451898
83	19769	450934
84	19982	450191
85	20226	450152
86	20432	449286
87	20658	448860
88	20869	448113
89	21080	447378
90	21294	446707
91	21497	445835
92	21718	445340
93	21937	444826
94	22144	444051
95	22353	443345
96	22565	442701
97	22777	442065
98	22987	441411
99	23192	440660
100	23400	439973
101	23615	439440
102	23836	439015
103	24061	438657
104	24274	438104
105	24528	438276
106	24761	438078
107	24984	437696
108	25197	437138
109	25403	436471
110	25602	435709
111	25842	435626
112	26054	435091
113	26278	434747
114	26523	434747
115	26749	434450
116	27022	434901
117	27245	434549
118	27490	434532
119	27732	434480
120	28067	435856
121	28292	435511
122	28504	434989
123	28744	434869
124	28972	434591
125	29178	433976
126	29381	433315
127	29604	432960
128	29847	432910
129	30071	432569
130	30284	432069
131	30519	431892
132	30744	431584
133	30963	431172
134	31174	430676
135	31398	430342
136	31621	430004
137	31839	429603
138	32074	429431
139	32295	429065
140	32549	429151
141	32798	429158
142	33023	428844
143	33325	429528
144	33565	429407
145	33826	429548
146	34082	429620
147	34310	429343
148	34559	429332
149	34791	429094
150	35082	429584
151	35334	429591
152	35581	429535
153	35832	429529
154	36052	429139
155	36274	428788
156	36504	428516
157	36728	428192
158	36976	428142
159	37233	428189
160	37480	428113
161	37773	428564
162	38072	429074
163	38360	429445
164	38648	429815
165	38954	430376
166	39270	431040
167	39564	431442
168	39787	431073
169	40052	431155
170	40292	430966
171	40531	430767
172	40788	430749
173	41032	430600
174	41277	430469
175	41508	430184
176	41744	429945
177	41976	429664
178	42212	429439
179	42432	429038
180	42698	429105
181	42936	428889
182	43170	428638
183	43442	428762
184	43712	428852
185	43955	428680
186	44223	428757
187	44452	428447
188	44680	428127
189	44925	427978
190	45165	427771
191	45428	427783
192	45696	427846
193	45947	427734
194	46215	427788
195	46461	427635
196	46695	427370
197	46922	427041
198	47144	426668
199	47380	426421
200	47607	426096
201	47833	425761
202	48077	425590
203	48315	425369
204	48571	425298
205	48835	425294
206	49094	425246
207	49362	425278
208	49613	425160
209	49888	425243
210	50139	425116
211	50371	424832
212	50599	424509
213	50825	424178
214	51063	423945
215	51297	423677
216	51583	423841
217	51815	423559
218	52049	423289
219	52285	423033
220	52511	422708
221	52748	422462
222	52989	422252
223	53242	422138
224	53484	421934
225	53712	421616
226	53954	421415
227	54195	421201
228	54430	420948
229	54681	420807
230	54947	420787
231	55196	420633
232	55453	420542
233	55683	420244
234	55961	420308
235	56253	420472
236	56548	420654
237	56844	420838
238	57069	420498
239	57306	420245
240	57530	419903
241	57770	419670
242	57999	419362
243	58235	419101
244	58493	419001
