iter	RMSE
0	14.76692039
1	14.24682306
2	13.78617399
3	13.34750429
4	12.93344324
5	12.55119947
6	12.17827377
7	11.85271598
8	11.53641676
9	11.22721723
10	10.9341155
11	10.66922168
12	10.42841376
13	10.19471896
14	9.968274416
15	9.764392273
16	9.57838264
17	9.415088781
18	9.259640429
19	9.104274812
20	8.972582002
21	8.850401767
22	8.727986424
23	8.615369076
24	8.505940207
25	8.411254003
26	8.309583905
27	8.221362657
28	8.150542763
29	8.070868702
30	8.00646972
31	7.933506692
32	7.875844445
33	7.817216018
34	7.765268884
35	7.717631492
36	7.672236047
37	7.634556642
38	7.599915805
39	7.555544955
40	7.521746089
41	7.481430981
42	7.44520925
43	7.412774647
44	7.382384623
45	7.352491844
46	7.325917806
47	7.298227288
48	7.271259259
49	7.248674034
50	7.227627384
51	7.204774988
52	7.18166316
53	7.164113979
54	7.145815142
55	7.129526381
56	7.10979118
57	7.085702867
58	7.068243469
59	7.055309129
60	7.038122473
61	7.01817491
62	7.005002437
63	6.991280213
64	6.974224747
65	6.961920367
66	6.950565825
67	6.939371805
68	6.921887548
69	6.910043978
70	6.899540965
71	6.887218825
72	6.872738796
73	6.863925397
74	6.849908051
75	6.842377953
76	6.833823699
77	6.824253617
78	6.812749826
79	6.804092125
80	6.796995665
81	6.790234304
82	6.782035746
83	6.774149552
84	6.766284526
85	6.760625223
86	6.754273794
87	6.745422258
88	6.739164635
89	6.734897384
90	6.723196833
91	6.71833247
92	6.710736179
93	6.70327321
94	6.697718825
95	6.69032774
96	6.679542967
97	6.674995512
98	6.670316279
99	6.66543723
100	6.6599846
101	6.655688414
102	6.649252323
103	6.643268139
104	6.6368138
105	6.631930746
106	6.627837024
107	6.624047822
108	6.617663707
109	6.614000859
110	6.607785634
111	6.605237514
112	6.601054681
113	6.597506849
114	6.594226382
115	6.591520892
116	6.588396903
117	6.584013142
118	6.58116325
119	6.577911994
120	6.576048978
121	6.573387165
122	6.570120336
123	6.566995186
124	6.56364887
125	6.560698738
126	6.55825025
127	6.555449813
128	6.552304256
129	6.550193848
130	6.545905006
131	6.542637423
132	6.540797274
133	6.539124291
134	6.536320235
135	6.531962718
136	6.530200469
137	6.529157611
138	6.526371612
139	6.522934396
140	6.521291257
141	6.516694467
142	6.513882203
143	6.512451326
144	6.509772705
145	6.508235298
146	6.505834812
147	6.503628537
148	6.500256388
149	6.497223982
150	6.49706189
151	6.494928827
152	6.492720063
153	6.490423455
154	6.488602862
155	6.484702644
156	6.481682676
157	6.48047054
158	6.478203303
159	6.476462491
160	6.473341985
161	6.470117983
162	6.467870083
163	6.464770999
164	6.462288912
165	6.458546803
166	6.458325425
167	6.45656713
168	6.456319146
169	6.456074626
170	6.45350175
171	6.451823313
172	6.449371159
173	6.446412508
174	6.444575377
175	6.44270798
176	6.440975565
177	6.439321015
178	6.438511864
179	6.437618633
180	6.434389247
181	6.434153846
182	6.431425314
183	6.429924828
184	6.427507739
185	6.426115643
186	6.423830382
187	6.42363537
188	6.421369358
189	6.421209388
190	6.420993013
191	6.420073468
192	6.41894827
193	6.417220172
194	6.414006475
195	6.410038935
196	6.408400351
197	6.407276658
198	6.40522146
199	6.402792525
200	6.401049853
201	6.400771991
202	6.398791501
203	6.398507178
204	6.396097146
205	6.395332782
206	6.390503967
207	6.388641625
208	6.38835297
209	6.387061503
210	6.38671804
211	6.386365736
212	6.386125624
213	6.384813859
214	6.384506927
215	6.3841796
216	6.381935806
217	6.378163957
218	6.377816562
219	6.377492029
220	6.375770921
221	6.375474486
222	6.375150789
223	6.372001692
224	6.371706051
225	6.371335312
226	6.367717226
227	6.367395392
228	6.365766701
229	6.365431816
230	6.365100779
231	6.364725354
232	6.361945092
233	6.360121994
234	6.3582538
235	6.356433765
236	6.353788789
237	6.351336439
238	6.350970912
239	6.350648101
240	6.349335098
241	6.347763961
242	6.347428886
243	6.345092082
244	6.344724259
245	6.342530332
246	6.340054881
247	6.339758527
248	6.337630631
249	6.336372471
250	6.336006079
251	6.334269614
252	6.332669033
253	6.330476194
254	6.327917739
255	6.324562275
256	6.321604573
257	6.320118655
258	6.31980312
259	6.319456771
260	6.31766538
261	6.316501735
262	6.313314513
263	6.310706949
264	6.310400111
265	6.310107588
266	6.306794014
267	6.304494617
268	6.304200112
269	6.303906601
270	6.300819056
271	6.298808786
272	6.297292911
273	6.296939402
274	6.296638109
275	6.294704548
276	6.293021382
277	6.291614408
278	6.291327578
279	6.288984811
280	6.286569301
281	6.284079633
282	6.281243305
283	6.280957283
284	6.278560336
285	6.277002144
286	6.276724059
287	6.276450632
288	6.276190082
289	6.274018475
290	6.273099195
291	6.272613536
292	6.271143249
293	6.269935804
294	6.268243021
295	6.267817645
296	6.267546443
297	6.265500041
298	6.262958081
299	6.262676244
300	6.262411669
301	6.261895376
302	6.259729496
303	6.258236914
304	6.256444711
305	6.254168756
306	6.253904751
307	6.252255957
308	6.250758541
309	6.250508532
310	6.249094582
311	6.247448724
312	6.245627084
313	6.243441933
314	6.240825306
315	6.239056914
316	6.238797623
317	6.236506324
318	6.235399895
319	6.23288282
320	6.230652241
321	6.229412535
322	6.22915162
323	6.228896901
324	6.228627453
325	6.228213331
326	6.225879332
327	6.225610728
328	6.225360763
329	6.222871852
330	6.221606516
331	6.221365925
332	6.221114361
333	6.220047515
334	6.218224171
335	6.216837717
336	6.21657501
337	6.216164217
338	6.21491331
339	6.213127084
340	6.212865217
341	6.212605174
342	6.21083944
343	6.210580714
344	6.209364548
345	6.208998147
346	6.207207192
347	6.206949839
348	6.205042019
349	6.204579492
350	6.202932892
351	6.202569345
352	6.202312095
353	6.200364025
354	6.19838369
355	6.198136461
356	6.197882658
357	6.196061641
358	6.194985071
359	6.19288127
360	6.192649369
361	6.192403157
362	6.192152586
363	6.190579838
364	6.190330505
365	6.189983838
366	6.189743794
367	6.188031973
368	6.186785913
369	6.186538482
370	6.184851748
371	6.184605466
372	6.18436038
373	6.183222078
374	6.181609289
375	6.181365176
376	6.178656512
377	6.176760328
378	6.176326376
379	6.174892672
380	6.172427216
381	6.17090529
382	6.170676119
383	6.170433502
384	6.169998365
385	6.169772647
386	6.168625858
387	6.168384791
388	6.166791403
389	6.165283095
390	6.164409122
391	6.161954451
392	6.16042933
393	6.160215193
394	6.159260787
395	6.157200908
396	6.155449485
397	6.155210034
398	6.154183257
399	6.153945561
400	6.152482409
401	6.150954696
402	6.150718403
403	6.150499548
404	6.148744591
405	6.148413487
