iter	Passed	Remaining
0	309	618648
1	541	540514
2	774	515641
3	1025	511565
4	1261	503511
5	1496	497208
6	1732	493249
7	2007	499871
8	2239	495364
9	2490	495520
10	2723	492431
11	2942	487524
12	3166	484000
13	3408	483579
14	3642	482030
15	3874	480473
16	4109	479316
17	4331	476958
18	4552	474688
19	4784	473700
20	5015	472675
21	5245	471622
22	5506	473315
23	5766	474809
24	6015	475256
25	6265	475669
26	6509	475686
27	6744	475026
28	6993	475330
29	7230	474796
30	7468	474401
31	7706	473942
32	7959	474409
33	8200	474168
34	8435	473570
35	8684	473807
36	8938	474233
37	9169	473418
38	9399	472607
39	9638	472278
40	9880	472102
41	10115	471585
42	10348	470969
43	10593	470919
44	10825	470318
45	11069	470212
46	11290	469140
47	11521	468546
48	11761	468292
49	12007	468284
50	12229	467344
51	12450	466403
52	12676	465673
53	12911	465285
54	13163	465520
55	13398	465128
56	13633	464718
57	13875	464594
58	14116	464409
59	14337	463591
60	14555	462681
61	14797	462536
62	15025	461985
63	15264	461758
64	15504	461556
65	15728	460900
66	15948	460114
67	16184	459839
68	16416	459430
69	16645	458939
70	16867	458279
71	17091	457678
72	17321	457249
73	17552	456844
74	17782	456426
75	18016	456114
76	18243	455608
77	18484	455469
78	18707	454895
79	18938	454525
80	19178	454370
81	19408	453968
82	19644	453724
83	19878	453419
84	20126	453447
85	20363	453213
86	20611	453225
87	20868	453418
88	21150	454137
89	21384	453826
90	21612	453389
91	21860	453366
92	22135	453905
93	22369	453570
94	22625	453695
95	22875	453695
96	23117	453539
97	23342	453032
98	23558	452374
99	23782	451862
100	24017	451575
101	24256	451360
102	24513	451472
103	24759	451379
104	24994	451094
105	25225	450720
106	25477	450729
107	25707	450365
108	25963	450438
109	26215	450424
110	26444	450037
111	26698	450067
112	26933	449758
113	27180	449666
114	27405	449211
115	27632	448792
116	27868	448516
117	28098	448148
118	28331	447832
119	28599	448058
120	28827	447653
121	29067	447441
122	29315	447364
123	29546	447006
124	29773	446609
125	29992	446075
126	30218	445658
127	30444	445258
128	30673	444882
129	30899	444479
130	31118	443969
131	31340	443512
132	31581	443322
133	31795	442765
134	32015	442289
135	32241	441903
136	32480	441690
137	32722	441522
138	32944	441080
139	33177	440793
140	33405	440431
141	33626	439984
142	33888	440073
